Rating,Review,ReviewLength
1,This is one of the franchise store of Ritz Camera in Chandler The stores staffs are nice however their photo lab is miss leading They make the price in very small fonts and hanging on the ceiling For the first time user to print photos in the lab I was charged for 45 for just few 4x6 and 8x10 print without signin as member I asked for canceling order prior they print the photos I was told Too late even its still in one of their store pc for ordering prints Since they are franchise I should be able to return or exchange the accessories I bought for my Nikon D70S camera in different store I was told No I can only exchange or return to the stores I purchase them I will not buy anything from them again,707
1,Only reason for 1 star is cause I got arrested here for underaged drinking years ago I blame the Diamondbacks for no legitimate reason,134
1,Only reason for 1 star is cause I got arrested here for underaged drinking years ago I blame the Diamondbacks for no legitimate reason,134
1,The only reason 1 star can be given is the flavor choices and taste The SMALLEST wings I have ever seen they must be off of baby chicks I thought it was getting punked actually LOL Never to be back,197
1,Very bad food,13
1,I was really disappointed with my local Baja Fresh tonight The lobby salsa bar and even drink station were very dirty and unkept To top that off my salad had old dark colored guacamole and limp lettuce I hope they read this and will do a better job at cleaning up,263
1,My fiance and I tried the place because of a Groupon We live in the same neighborhood and see the place all the time but the look of the place was never enough to draw us in There is nothing eye catching about the business front at all Its in a strip mall and looks old At night they turn on strands of tacky Christmas lights that only attract attention to the fact that the lights are so poorly hung When we arrived for dinner we were greeted by an empty corridor no host station and no host We could see what looked to be a bar but it wasnt a bar that Id want to eat drink and socialize at To pass the time until we were finally greeted we browsed the many framed publications touting how incredible the place was Im already hereI dont need any more persuasion Its time for the Chefowner to take down the look how good I was trophy wall and go with a more inviting modern look We were greeted by friendly gentleman who seated us on the main lower floor He handed us our menus and asked if he could get us something to drink There is no drink menu on the menu No beer list no soda list no liquid period We asked to see the wine list which had only bottle prices and doesnt even hint that they sell wine by the glass Once I asked if they had beer and sold wine by the glass it was like we made a breakthrough The menu seems a bit outdated so I went with the Lasagna the basics While we sat waiting for our meal the salads came Weirdthe menu didnt mention anything about a salad nor did the waiter More lack of information from the menu Now on to the decor It is terribly outdated Tacky bland pale paint scheme brass fixtures mirrors and cliche wine bottles There were beautiful fresh flowers throughout which we really enjoyed I was unfortunately seated directly in front of two paintings both with a woman and a little girl drinking what appears to be wine Im guessing they are personal family paintings but they are horribly out of place and bordering on creepy I couldnt take my eyes off of them and that distracted me throughout the night This place needs a makeover new modern paint scheme and some updating on the artwork The lasagna came It was OK at best I tried my fiances chicken genevese at it was horrible The chicken tasted like it was boiled which is an instant dish killer for me We did not take our leftovers We asked for the check and it came with a after dinner cordial which was a nice surprise and tasted delicious We wont be back To be honest Oreganos lasagna is better by far,2497
1,Like watching a train wreck in slow motion will definitely be going somewhere else for bagels from now on disappointing have been going there for years The eight day old cream cheese was a nice touch yuck,204
1,New N Scottsdale location Baaaaaaad The were 10 staff members milling around and there was no manager on sight 1000 for a mediocre burger with an uncooked tasteless bun not large enough to encompass all the arugula They forgot the sauce which apparently is the main ingredient The upgrades are ridiculous 100 here for cheese on an already well priced burger btw Flemings blue cheesebacon burger 6 best in town 500 here for fries Cmon And its the same two hispanic guys who dont have any idea about chef inspired food cooking in the kitchen as every other restaurant there is no chef For the price you want to see the chefowner representing especially at a new location and you want competent staff who treats you as 1 and not their conversing with the other staff members as 1 and you want to enjoy what is supposed to be one of the best burgers in town What a disappointment The lack of top down management care and supervision carries through in all elements of the poor experience Take a pass,995
1,Banfield is okay for routine check ups for maintenance and preventive care That is why they offer a wellness plan When it comes to your animal getting sick I would go elsewhere It should not be called a Hopital The doctors are there for profit only and do not show any care for your pet The vet techs care but the doctors dont listen to them This place is lacking ethics when it comes down to making important decisions when it comes to your pets health,453
1,Do not get your oil changed at this walmart or any walmart We got a oil change and they dented our oil pan and now it leaks and they are not taking responsibility for the damages they caused I have only had my oil changed for the last year here and they are trying to put it off on someone else when no one else has clearly done our oil The insurance for walmart wont even look at my vehicle and had already decided they are not at fault I had a 3rd party appraiser look at it and they can only determine it was from an oil change I have no other option but to take this to a lawyer,582
1,Needs a new name now The Pischkes of old had such a sad ending I appreciated McGraths effort to keep Pischkes alive But it is nothing like the Pischkes of old Call it The Blue Ribbon Cafe take out the PIschke name I cant imagine that Chris PIschke would have been honored to be remembered this way If his restaurant was a reflection of who he was as a person Pischkes Blue Ribbon Cafe would be the exact opposite of who he was The current restaurant is not a laid back family friendly and yet a bar all at once restaurant that serves an unending array of crazy good sandwichessaladsetc the current decor is pretentious and the food matches that,644
1,Id have to disagree with the person who said this restaurant is dog friendly I was told off by the owner because I had a little dog outside table and that was right after I finished paying for an overpriced breakfast dish and coffee I went here before that on several occasions and many times my order was forgotten after payingand the staff is real unprofessional blasting music at nightclub volume at early breakfast and lunch times Im a neighbor but will never go here again,477
1,Quick spot for a mallmade mayobased California roll This is where you go to learn how sushi can go wrong Youve been hard at work doing swipeandsign Perhaps you even dropped a thousand bucks at Neimans on a worthless Jhane Barnes sweater and some silklined Zanella slacks or three thousand on a whatsleftoflastseasonscollection of Brioni blazer Whatever your fancy youre toting a wrist full of roped glossy shooshingsounding bags with tissue paper sticking out the tops You just want a break and some cool refreshing sushi Its OK but beware Unagi and other hot items have a beepbeep before they get to you California and spicy tuna rolls come real quick cause they come from a vat of mayonnaise Rice is not right either Stick to tuna and salmon sashimi and miso soup If head chef Rick is there think Kyoto of Empire at 24th and Camelback then Ichi Ban University off McClintock ask him to make you a Fat Bob on Acid for good ol times sake Or just go to Starbucks tide yourself over and find a real sushi restaurant And about the Brioni Dont sweat the buyers remorse Itll make a great tax deduction to Florences,1109
1,This was the most HORRIBLE floor cleaning I have ever seen We took before and after pictures and cannot tell the difference at all The guy was not friendly and just wanted our money even though he did not do his job I would NEVER recommend this company to anyone We paid 1000 and got 20 worth of service I mopped the floor the day after the cleaning guy was here and got a lot of the staining as he would say off easily I have included a picture that we wrote in the floor with a paper towel after the cleaningcan you read the saying That is exctaly how we felt after the service REALLY,586
1,The reviews were so good that my friend and I had to check it out We were very disappointed this morning while trying to eat breakfast and swatting tons of flies They were everywhere on us our food the other customers and this was inside The egg sandwiches were served on hamburger buns shaped like rolls I could have went next door to get one just like it at McDonalds Not surprised people from Ahwatukee like this place it looks nice but the food is soso,456
1,not clean worst gel manicure ever and ruined my nailsJimmy finished it his wife started it Nails sanded too thin and they talk to other people and look away while theye filing sanding and cutting They cut two times now into the side of my thumb nail which causes it to catch and tear off the same day or soon Their 10 or 12yr old daughter brought the colors to pick she is much too precocous to be customer focusedshes narcisstic and I want an adult waiting on me They have to open bottles to look at gel colorno samples Gel drying machine is sitting on a priority mail box on top of chair in customer wait area Pedicure okay Wont come back This place like many with Vietnamese want your money they dont understand service or cleanliness in this one and why we really come to these places They also try and nickle and dime you on price for instance give you a deal to take off gel from previous manicure when youre getting a new gel manicure They want to use the dremel to sand your nails down to the quick How about healthy nails and return visit This place Im surprised stays in business Sadly its not in a category by itself although the others are cleaner Jimmy should stay away from nails and customers and just keep quiet The girl might be cute to some customers but I am not coming to have a 12year old wait on me No thank you,1333
1,Groupon ripoff Small salad three extremely small plates of mediocre pasta desserts that cloyed the palate All for an advertised value of 90 Will NEVER return,157
1,Most livable city my eye Plastic yuppies around every corner looking for a reason to belong I cant wait for the homosexuals to take control of this dog park and give it some class Avoid at all cost,197
1,Quick spot for a mallmade mayobased California roll This is where you go to learn how sushi can go wrong Youve been hard at work doing swipeandsign Perhaps you even dropped a thousand bucks at Neimans on a worthless Jhane Barnes sweater and some silklined Zanella slacks or three thousand on a whatsleftoflastseasonscollection of Brioni blazer Whatever your fancy youre toting a wrist full of roped glossy shooshingsounding bags with tissue paper sticking out the tops You just want a break and some cool refreshing sushi Its OK but beware Unagi and other hot items have a beepbeep before they get to you California and spicy tuna rolls come real quick cause they come from a vat of mayonnaise Rice is not right either Stick to tuna and salmon sashimi and miso soup If head chef Rick is there think Kyoto of Empire at 24th and Camelback then Ichi Ban University off McClintock ask him to make you a Fat Bob on Acid for good ol times sake Or just go to Starbucks tide yourself over and find a real sushi restaurant And about the Brioni Dont sweat the buyers remorse Itll make a great tax deduction to Florences,1109
1,My friend kept telling me how good their lunches are I tried it but it didnt do anything for me The sandwich tasted like something you can get at Safeway but twice the price For being called a Purveyor of Fine Foods I expected the food to taste like not just any ordinary sandwich What I had Ham cheese with portobello mushrooms on a panini with 2 sides of pasta one was parmesan and the other was macaroni Maybe it was the panini bread I think the parmesan pasta was made there but I know for sure the macaroni was not made there it tasted like something I had at a picnic which was in a carton It wasnt anything to brag home about I found out the head chef made my sandwich keep him in the kitchen and away from the customers no personality whatsoever I asked for his suggestion and his reaction was anythings good Normally when I go to AJs I go for their desserts Their desserts are fabulous and you can get individual servings at a reasonable price I can take an assortment home and have them for later Our company does use them for their catering and Ive had many compliments on their dishes but pass on the lunches,1120
1,I was there on a Friday night with a few friends in the hopes of a quick drink and nosh after a show next door My companion and I ordered basic drinks and were met with shots of liquor in the bottoms of our glasses and a blank look from the waitress when I asked if they were out of mixers After this we opted not to order any food taking our cue from the inability to mix gin with tonic water and were met with an outrageous bill for our two well shots We questioned the tally and were met with a second total that wasnt much better Our credit card was charged twice 40 for some wet ice and a lemon wedge There are many cool and artsy places in Phx where we can catch live music and nosh with friends Ill pass this one up from now on,734
1,No nodo not go here now Im not talking about the fact that the place looks crappy or the bathroom is suspect but the fact that the food is nasty It was completely empty when we were there and that should have been some indication on what to expect but no I am a glutten for punishment I ordered some tacos and didnt even finish the meal I ended up just tossing the food and still got a tummy ache from what little I did eat This place is definitely not a good look,464
1,Slowest DRIVE THRU ever Also the quintessential SHORT BUS Location I frequented this location around dinner time since it is the closest to my home a few times and every time it is between a 1015 min ordeal When i worked at Mickey Ds in the early 90s we had what was called 90 sec HBO Hand Bag Out from order to picking up should be no longer than 90 secs This must not be a practiced any longer I have to say hello when I drive up to the speaker due to getting no response Then I get someone who is rude and says yes I order the big mac deal buy 1 get 1 for a 1 The employee says they do not offer that I advise their menu out front does After 5 min of silence and cars backing up I pull fwd to make sure he is still living to see what is up Total lack of cust serv service he had to have the mgr show him how to ring it up no apology or anything This happened each time I went there Cmon man,893
1,Wow After eating sushi from across the nation i have to say Scottsdales Geisha A Go has surprised me for an ultimate low Andrew the manager reassured us that we had something wrong with our taste buds for not tasting how fresh the fish was here Insulting to assume Not recommended,280
1,The organization is grand with a ton of selection but the employees could care less about costumer service It is very amazing with the amount of unemployed people in the city they have to hire the most incompetent individuals Im not going to be ignorant and say they are ALL bad but a few in the bunch seem to make it difficult to be a repeat costumer Try talking to a manager at this location and you will be routed around the store till you finally get some one that states the manager is off till next week i will stay a website purchaser until they change their policy at this location and hire individuals with a better standard,633
1,Only reason for 1 star is cause I got arrested here for underaged drinking years ago I blame the Diamondbacks for no legitimate reason,134
1,I dont know whats up with Eddie I always found him to be pleasant and really taking care of the customers However on the 17th of November we had a birthday party of 19 people and they gave us one waitress We sat down at 700 pm and our main course came at 915 No real big deal but one person cant handle a table of 19 and we were having fun So one of the guests had ordered the 1200 burger along with a salad and told the waitress no Mayo because he cant stand it at all The burger comes out and it has Mayo on it and he tells the waitress She was not at fault and had written it down clearly He asked for a new one and she comes back and says Eddie cooked the hamburger and refused to cook a new one but would make him a new bun He didnt want that because he hates Mayo that much so there was no problem taking it off the tab but Eddie would not make a new one LOL Whats up Eddie I dont understand at all you take it off the bill because you screwed up but refuse to make another burger that you would have been paid for Then you end up looking like a fool in front of the other eighteen people My daughter has even taken one of your classes and said what a great guy you are Really bad PR that night and the next birthday party wont be at Eddies House Great time that night but the ending leaves a very bad taste in 19 peoples mouth,1333
1,Only reason for 1 star is cause I got arrested here for underaged drinking years ago I blame the Diamondbacks for no legitimate reason,134
1,I was really excited to try this restaurant and tonight my husband and I came and ordered food to takeout The service was very friendly and the store was clean cute and colorfulbut the food was very disappointing My husband ordered the curry chicken and although it tasted okay he literally almost choked on tiny bones in the meat 4 or 5 times I asked ahead of time if they used white meat and was told yes but the Calypso Pasta I ordered had tiny pieces of dark meat jerk chickeninstead of the boneless white strips I was expecting and really it was just mediocre Im bummed I wanted to like this place,602
1,Very bad food,13
1,The organization is grand with a ton of selection but the employees could care less about costumer service It is very amazing with the amount of unemployed people in the city they have to hire the most incompetent individuals Im not going to be ignorant and say they are ALL bad but a few in the bunch seem to make it difficult to be a repeat costumer Try talking to a manager at this location and you will be routed around the store till you finally get some one that states the manager is off till next week i will stay a website purchaser until they change their policy at this location and hire individuals with a better standard,633
1,Another night meeting friends here I have to laugh Waited another 20 minutes for my beer to be refilled at the bar A girl even took my empty without even asking if I wanted a refill A new brunette girl that I dont recognize left the bar and sat down with her guy friends on the customer side AT 925 ON A FRIDAY NIGHT Another bartender had to ask her to come back and work Management Pull your head out of your ass Sad to watch I need to talk my friends into another place,471
1,I heard good things about this place and was looking forward to what the basement atmosphere would feel like lowbrow a little seedy etc Sadly too many middleaged men wearing flip flops out on a Friday night Flip flops UGHin Winter Also our waiter SUCKED He acted like he had a hard night and was unwilling to suggest a beer so I am sure he spit in my draftAnyhoo does not matter as I will not return,399
1,My friend kept telling me how good their lunches are I tried it but it didnt do anything for me The sandwich tasted like something you can get at Safeway but twice the price For being called a Purveyor of Fine Foods I expected the food to taste like not just any ordinary sandwich What I had Ham cheese with portobello mushrooms on a panini with 2 sides of pasta one was parmesan and the other was macaroni Maybe it was the panini bread I think the parmesan pasta was made there but I know for sure the macaroni was not made there it tasted like something I had at a picnic which was in a carton It wasnt anything to brag home about I found out the head chef made my sandwich keep him in the kitchen and away from the customers no personality whatsoever I asked for his suggestion and his reaction was anythings good Normally when I go to AJs I go for their desserts Their desserts are fabulous and you can get individual servings at a reasonable price I can take an assortment home and have them for later Our company does use them for their catering and Ive had many compliments on their dishes but pass on the lunches,1120
1,How very disappointing Nellos had a delightful menu with an array of salads pizzas and sandwiches Not Jacs If the new restaurant wants to be a pub it should have a wider variety of selections The menu was sad Due to dietary restrictions I asked for a plain garden salad Lettuce tomatoes and onions And it wasnt very fresh either Sad Guess well be driving up north to Pima Crossing to visit Nellos,396
1,The organization is grand with a ton of selection but the employees could care less about costumer service It is very amazing with the amount of unemployed people in the city they have to hire the most incompetent individuals Im not going to be ignorant and say they are ALL bad but a few in the bunch seem to make it difficult to be a repeat costumer Try talking to a manager at this location and you will be routed around the store till you finally get some one that states the manager is off till next week i will stay a website purchaser until they change their policy at this location and hire individuals with a better standard,633
1,Nice facilities nice AC but two FATAL flaws 1 Children running around yelling and screaming at all times This is a failure of the parents and more importantly of the staff who apparently REFUSE to enforce any kind of policies against noise whatsover To parents and staff THIS IS A LIBRARY NOT A DAYCARE 2 The collection here is 90 DVDs and Dummies books with trashy novels thrown in for good measure,399
1,Another night meeting friends here I have to laugh Waited another 20 minutes for my beer to be refilled at the bar A girl even took my empty without even asking if I wanted a refill A new brunette girl that I dont recognize left the bar and sat down with her guy friends on the customer side AT 925 ON A FRIDAY NIGHT Another bartender had to ask her to come back and work Management Pull your head out of your ass Sad to watch I need to talk my friends into another place,471
1,How very disappointing Nellos had a delightful menu with an array of salads pizzas and sandwiches Not Jacs If the new restaurant wants to be a pub it should have a wider variety of selections The menu was sad Due to dietary restrictions I asked for a plain garden salad Lettuce tomatoes and onions And it wasnt very fresh either Sad Guess well be driving up north to Pima Crossing to visit Nellos,396
1,I wouldnt send my worst enemy to this place,43
1,This is one of the franchise store of Ritz Camera in Chandler The stores staffs are nice however their photo lab is miss leading They make the price in very small fonts and hanging on the ceiling For the first time user to print photos in the lab I was charged for 45 for just few 4x6 and 8x10 print without signin as member I asked for canceling order prior they print the photos I was told Too late even its still in one of their store pc for ordering prints Since they are franchise I should be able to return or exchange the accessories I bought for my Nikon D70S camera in different store I was told No I can only exchange or return to the stores I purchase them I will not buy anything from them again,707
1,Ok food Super slow 3 employees and 2 customers and I could not believe how long it took for a quesadlla which was cold when I got itthe tacos were decent thoughGive it a try and you decide though,195
